ID,pred
20000,0.5184534
20001,0.65661854
20002,0.2779363
20003,0.34612715
20004,0.02979242
20005,0.2974422
20006,0.38363308
20007,0.7606568
20008,0.59601855
20009,0.48494017
20010,0.336006
20011,0.0909404
20012,0.7205803
20013,0.78565514
20014,0.7417526
20015,0.5924613
20016,0.17030351
20017,0.33916873
20018,0.28104872
20019,0.47211853
20020,0.4392311
20021,0.8215223
20022,0.7411032
20023,0.43048406
20024,0.7736442
20025,0.0029902474
20026,0.55866784
20027,0.90274674
20028,0.061661772
20029,0.26158872
20030,0.37560904
20031,0.79619265
20032,0.6987606
20033,0.47179398
20034,0.24000406
20035,0.84735537
20036,0.37425253
20037,0.3639278
20038,0.9242544
20039,1.0384322
20040,0.4030072
20041,1.0112157
20042,0.12983508
20043,0.28894222
20044,0.11923757
20045,0.15046453
20046,0.7892425
20047,0.38427797
20048,0.36168468
20049,0.9066048
20050,0.94659454
20051,0.9130534
20052,0.13862124
20053,0.52995485
20054,0.28469026
20055,0.31378576
20056,0.029099775
20057,0.47744802
20058,0.68129665
20059,0.26322234
20060,0.67764866
20061,0.5246952
20062,0.003935909
20063,0.9883301
20064,0.63059086
20065,0.9388606
20066,0.66319907
20067,0.060832404
20068,0.74592197
20069,0.46953115
20070,0.3803719
20071,0.4612903
20072,0.44271454
20073,0.56347525
20074,0.19901676
20075,0.54234886
20076,0.0204379
20077,0.8396477
20078,0.4883821
20079,0.98844665
20080,0.24524085
20081,0.0053290087
20082,0.42635044
20083,0.27596533
20084,0.6855023
20085,0.37321633
20086,0.9014018
20087,0.21731447
20088,0.2784137
20089,0.5206607
20090,0.68844813
20091,0.34050354
20092,0.57031184
20093,0.45013976
20094,0.4210757
20095,0.41819718
20096,0.76239765
20097,0.050157633
20098,-0.01603626
20099,0.64082336
20100,0.4678617
20101,0.045566678
20102,0.45311043
20103,0.43288404
20104,0.6868122
20105,0.015505228
20106,0.2992787
20107,0.5224374
20108,0.288826
20109,0.31792164
20110,0.8162774
20111,0.9548295
20112,1.0153539
20113,0.24582529
20114,0.41678417
20115,0.14503337
20116,0.12595528
20117,0.8033424
20118,0.37477496
20119,0.288733
20120,0.5161151
20121,0.28604543
20122,0.1827289
20123,0.14933214
20124,0.25036222
20125,0.037478946
20126,0.8095841
20127,0.83466357
20128,0.9328752
20129,0.3978634
20130,0.38498867
20131,0.35979787
20132,1.0261881
20133,0.45764583
20134,0.35586002
20135,0.85874885
20136,0.026692955
20137,0.25376448
20138,0.63289464
20139,0.17416136
20140,0.23081703
20141,0.5200493
20142,0.27104592
20143,0.2683138
20144,0.4064809
20145,0.9965458
20146,-0.0031308138
20147,0.8991707
20148,0.58124316
20149,0.059176434
20150,0.7827582
20151,0.187199
20152,0.45059982
20153,0.5793291
20154,0.10505528
20155,0.84273195
20156,0.42511177
20157,0.49266207
20158,0.8542642
20159,0.6302878
20160,0.1537103
20161,0.6650702
20162,0.21627913
20163,0.11214053
20164,0.6133884
20165,0.100985415
20166,0.5356557
20167,0.61991924
20168,0.0033537939
20169,0.48383686
20170,0.5090539
20171,0.7921398
20172,0.33701006
20173,0.43203798
20174,0.60709244
20175,0.73784626
20176,0.23099388
20177,0.55807984
20178,0.39936647
20179,0.47720975
20180,0.31564304
20181,0.830916
20182,0.586939
20183,0.043170366
20184,0.46650007
20185,0.27658683
20186,0.96245366
20187,0.2572614
20188,0.8342218
20189,0.46636805
20190,0.29920635
20191,0.41956165
20192,0.62491626
20193,0.6184036
20194,0.32162055
20195,0.49259037
20196,0.48549497
20197,0.2597808
20198,0.5184217
20199,-0.0023802011
20200,0.2718015
20201,0.40619704
20202,0.30087712
20203,0.6266244
20204,0.8819322
20205,0.8030261
20206,-0.034397043
20207,0.6653735
20208,0.036318127
20209,0.845007
20210,0.015648792
20211,0.125096
20212,0.6587793
20213,0.30689615
20214,0.354244
20215,0.67038476
20216,0.4097287
20217,0.82766247
20218,0.5503166
20219,0.7659337
20220,0.2788454
20221,0.22638865
20222,0.9950217
20223,0.47822505
20224,0.17050277
20225,0.15906356
20226,0.41882378
20227,0.6996472
20228,0.80325204
20229,0.43153962
20230,0.72447246
20231,0.42627144
20232,-0.0013932964
20233,0.6373628
20234,0.42265764
20235,0.46449366
20236,0.45040148
20237,0.14298828
20238,0.40901664
20239,0.116145015
20240,0.35584837
20241,0.38733938
20242,0.45130232
20243,-0.014523324
20244,0.36286885
20245,0.46029353
20246,0.32801655
20247,0.79038906
20248,0.41288188
20249,0.264139
20250,0.46961522
20251,0.42114127
20252,0.8398315
